		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.472656	M = 250	N = 8	m = 9	n = 2000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    0    1    0    1    1    0    0  8.601859 0.376987 SUCCESS  76
100101000    1    0    0    0    2    1    1    0  8.601859 0.376987 SUCCESS  77
100110000    0    0    2    1    0    2    1    1 13.070222 0.109456 SUCCESS  78
100111000    0    2    0    1    0    0    0    0  8.370166 0.398171 SUCCESS  79
101000000    0    1    0    0    0    0    0    1  4.017648 0.855528 SUCCESS  80
101000100    0    1    1    0    0    2    1    0  8.601859 0.376987 SUCCESS  81
101001000    1    0    0    1    0    1    2    0  8.601859 0.376987 SUCCESS  82
101001100    0    1    1    0    2    1    0    1  8.717705 0.366667 SUCCESS  83
101010000    0    0    0    0    2    0    0    0  8.254319 0.409030 SUCCESS  84
101010100    0    0    0    0    0    0    1    1  4.017648 0.855528 SUCCESS  85
101011000    2    1    1    1    0    1    1    0  8.833552 0.356531 SUCCESS  86
101011100    0    0    0    0    0    0    0    1  3.901802 0.865873 SUCCESS  87
101100000    1    0    0    0    1    1    1    0  4.249341 0.833955 SUCCESS  88
101100100    0    0    2    0    0    1    0    1  8.486012 0.387489 SUCCESS  89
101101000    0    1    0    0    1    1    1    0  4.249341 0.833955 SUCCESS  90
101101100    1    0    0    0    2    2    0    1 12.954376 0.113429 SUCCESS  91
101110000    0    0    1    1    0    0    0    0  4.017648 0.855528 SUCCESS  92
101110100    1    1    1    0    2    0    0    2 13.070222 0.109456 SUCCESS  93
101111000    0    0    0    2    0    1    0    0  8.370166 0.398171 SUCCESS  94
101111100    0    0    0    0    1    0    0    1  4.017648 0.855528 SUCCESS  95
110000000    0    0    0    1    0    0    0    1  4.017648 0.855528 SUCCESS  96
110000010    0    0    1    0    0    1    0    0  4.017648 0.855528 SUCCESS  97
110000100    2    1    0    1    0    1    1    0  8.717705 0.366667 SUCCESS  98
110001000    0    1    1    2    0    1    0    1  8.717705 0.366667 SUCCESS  99
110001010    0    0    1    1    0    1    0    0  4.133495 0.844883 SUCCESS 100
110010000    0    0    1    1    1    1    0    0  4.249341 0.833955 SUCCESS 101
110010010    0    1    2    2    1    0    0    1 13.070222 0.109456 SUCCESS 102
110010100    0    0    0    0    1    1    0    2  8.486012 0.387489 SUCCESS 103
110011000    0    0    1    2    0    1    1    1  8.717705 0.366667 SUCCESS 104
110011010    0    1    0    1    0    0    1    0  4.133495 0.844883 SUCCESS 105
110100000    0    2    0    1    0    0    1    2 12.954376 0.113429 SUCCESS 106
110100010    2    1    1    0    0    1    0    0  8.601859 0.376987 SUCCESS 107
110100100    4    0    0    0    0    0    1    0 29.785212 0.000231 FAILURE 108
110101000    0    0    0    0    1    0    1    0  4.017648 0.855528 SUCCESS 109
110101010    0    0    0    0    1    0    2    1  8.486012 0.387489 SUCCESS 110
110101100    1    1    1    1    0    1    2    0  8.833552 0.356531 SUCCESS 111
110110000    0    0    0    0    1    0    0    0  3.901802 0.865873 SUCCESS 112
110110010    0    1    1    0    1    1    0    1  4.365188 0.822764 SUCCESS 113
110110100    0    0    0    0    1    1    0    0  4.017648 0.855528 SUCCESS 114
110111000    0    0    0    2    0    0    0    0  8.254319 0.409030 SUCCESS 115
110111010    1    1    1    0    2    0    0    1  8.717705 0.366667 SUCCESS 116
110111100    0    2    0    1    0    1    0    0  8.486012 0.387489 SUCCESS 117
111000000    0    0    0    1    0    0    0    1  4.017648 0.855528 SUCCESS 118
111000010    1    2    1    1    0    0    0    0  8.601859 0.376987 SUCCESS 119
111000100    0    1    1    2    0    1    0    1  8.717705 0.366667 SUCCESS 120
111000110    1    0    1    0    0    0    0    0  4.017648 0.855528 SUCCESS 121
111001000    0    0    0    0    0    0    0    0  3.785956 0.875900 SUCCESS 122
111001010    0    0    0    0    1    1    0    2  8.486012 0.387489 SUCCESS 123
111001100    1    0    0    0    0    0    0    0  3.901802 0.865873 SUCCESS 124
111010000    0    1    1    1    1    1    1    2  8.949398 0.346583 SUCCESS 125
111010010    3    0    0    0    0    0    1    0 16.959354 0.030535 SUCCESS 126
