a2d_outn X,a2d_outn Logic
0,1
1.002316666668402e-05,0
1.20174166666884e-05,1
1.402325000002613e-05,0
1.601733333336383e-05,1
3.402324999992745e-05,0
3.601741666651741e-05,1
3.802308333310693e-05,0
4.001749999969688e-05,1
4.602324999946587e-05,0
4.801741666605583e-05,1
5.002308333264535e-05,0
5.201733333256864e-05,1
5.402316666582482e-05,0
5.601733333241478e-05,1
7.002316666520939e-05,0
7.201741666513268e-05,1
7.802316666490167e-05,0
8.001741666482496e-05,1
9.002316666444009e-05,0
9.201741666436338e-05,1
9.802333333079903e-05,0
0.0001000174166640557,1
0.0001020231666639785,0
0.0001040174999972351,1
0.000106023249997158,0
0.0001080174166637479,1
0.0001100232499970041,0
0.0001120174166635941,1
0.0001260232499970315,0
0.0001280174166639458,1
0.0001300232499975282,0
0.0001320174166644425,1
0.0001340231666646915,0
0.0001360174166649391,1
0.0001420231666656849,0
0.0001440174166659325,1
0.0001500232500000115,0
0.0001520174166669258,1
0.0001540231666671748,0
0.0001560173333340891,1
0.0001620230833348348,0
0.0001640175000017491,1
0.0001780233333368215,0
0.0001800173333370691,1
0.0001820232500039848,0
0.0001840173333375657,1
0.0001900231666716448,0
0.0001920174166718924,1
0.0001940231666721415,0
0.0001960174166723891,1
0.0001980232500059715,0
0.0002000175000062191,1
0.0002100233333407948,0
0.0002120175000077091,1
0.0002140231666746248,0
0.0002160174166748724,1
0.0002300232916766114,0
0.000232017416676859,1
0.0002340233333437748,0
0.0002360173333440223,1
0.0002380233333442714,0
0.000240017333344519,1
0.0002500232500124281,0
0.000252017333346009,1
0.0002540232500129247,0
0.000256017416679839,1
0.0002580232500134214,0
0.000260017500013669,1
0.0002660232500144147,0
0.000268017416681329,1
0.000274023250015408,0
0.0002760175000156557,1
0.0002860230833502313,0
0.000288017333350479,1
0.0003020232500188847,0
0.0003040175000191323,1
0.0003060232500193813,0
0.0003080174166862956,1
0.0003100233333532113,0
0.0003120173333534589,1
0.0003140231666870413,0
0.0003160174166872889,1
0.000318023416687538,0
0.0003200175000211189,1
0.000322023250021368,0
0.0003240175000216156,1
0.0003260232500218646,0
0.0003280174166887789,1
0.0003580231666925046,0
0.0003600174166927522,1
0.0003660231666934979,0
0.0003680174166937455,1
0.0003740233333611579,0
0.0003760175000280722,1
0.0003820232500288179,0
0.0003840174166957322,1
0.0003940231666969745,0
0.0003960174166972222,1
0.0003980232500308046,0
0.0004000174166977188,1
0.0004020232500313012,0
0.0004040174166982155,1
0.0004060232500317979,0
0.0004080174166987122,1
0.0004100231666989612,0
0.0004120173333658755,1
0.0004140231666994579,0
0.0004160173333663721,1
0.0004180232500332879,0
0.0004200174167002021,1
0.0004260232500342812,0
0.0004280174167011955,1
0.0004300231667014445,0
0.0004320174167016921,1
0.0004340232500352745,0
0.0004360173333688554,1
0.0004620230833720845,0
0.0004640174167056654,1
0.0004660232083725811,0
0.0004680174167061621,1
0.0004700233333730778,0
0.0004720174167066587,1
0.0004780231667074044,0
0.0004800173333743187,1
0.0004860232500417311,0
0.0004880175000419787,1
0.0004900232500410945,0
0.0004920174167067115,1
0.0005060232500326728,0
0.0005080174166982898,1
0.0005100231666972341,0
0.0005120173333628511,1
0.0005140231666951287,0
0.000516017416694079,1
0.0005260231666888124,0
0.0005280174166877627,1
0.0005300232500200403,0
0.0005320175000189906,1
0.0005460233333449519,0
0.0005480174166772356,1
0.0005500231666761799,0
0.0005520174166751302,1
0.000558023166671969,0
0.0005600173333375861,1
0.0005660232500010915,0
0.0005680174166667085,1
0.000570023249998986,0
0.0005720174166646031,1
0.0005860232499905644,0
0.0005880174166561814,1
0.0005900231666551256,0
0.000592017416654076,1
0.0005940231666530202,0
0.0005960174166519705,1
0.0005980232083175814,0
0.0006000174999831984,1
0.0006020231666488094,0
0.0006040174166477597,1
0.0006100232499779318,0
0.0006120173333102155,1
0.0006220232499716155,0
0.0006240174166372326,1
0.0006260232499695101,0
0.0006280174166351271,1
0.000634023166631966,0
0.000636017333297583,1
0.0006380230832965273,0
0.0006400174999621442,1
0.0006500231666235443,0
0.0006520174166224946,1
0.0006540231666214389,0
0.0006560174166203892,1
0.0006580232499526667,0
0.0006600173332849505,1
0.0006620233332838946,0
0.0006640174166161783,1
0.0006780234166088062,0
0.0006800174166077566,1
0.0006820231666067009,0
0.0006840173332723179,1
0.0006980231665982792,0
0.0007000174165972295,1
0.0007020232499295071,0
0.0007040174165951241,1
0.0007060232499274016,0
0.0007080174165930187,1
0.0007100230832586296,0
0.0007120174999242465,1
0.0007140232499231908,0
0.0007160174999221411,1
0.0007260233332502078,0
0.0007280174999158248,1
0.000734023333245997,0
0.0007360173332449474,1
0.0007380232499105583,0
0.0007400174165761753,1
0.0007460233332396807,0
0.0007480173332386312,1
0.000750023249904242,0
0.000752017416569859,1
0.0007660230832291537,0
0.0007680174165614373,1
0.0007780231665561707,0
0.0007800174998884543,1
0.000782023083220732,0
0.0007840174165530156,1
0.0007860233332186265,0
0.0007880173332175769,1
0.0007940233332144156,0
0.0007960174165466994,1
0.0008020231665435382,0
0.0008040174998758218,1
0.0008060233332080994,0
0.0008080174165403831,1
0.0008140232498705552,0
0.000816017333202839,1
0.0008180231665351165,0
0.0008200173332007335,1
0.0008220233331996777,0
0.0008240174165319614,1
0.0008300230831954669,0
0.0008320174165277505,1
0.0008460232498537118,0
0.0008480174165193289,1
0.0008500233331849397,0
0.0008520174165172234,1
0.0008620230831786236,0
0.0008640173331775739,1
0.0008700232915077459,0
0.0008720174165066963,1
0.0008780232498368684,0
0.0008800174998358188,1
0.0008820231665014297,0
0.00088401741650038,1
0.0008860232498326576,0
0.0008880174164982746,1
0.00089402333316178,0
0.0008960174998273971,1
0.0008980232498263413,0
0.0009000173331586251,1
0.0009060233331554638,0
0.0009080174164877475,1
0.0009100231664866918,0
0.0009120174164856421,1
0.0009180232498158142,0
0.0009200173331480979,1
0.0009220232498137088,0
0.0009240174998126591,1
0.0009260231664782701,0
0.0009280174164772204,1
0.0009300230831428314,0
0.000932017416475115,1
0.0009420231664698484,0
0.0009440174164687987,1
0.000970023333121777,0
0.0009720172497873942,1
0.0009740233331196716,0
0.0009760174164519553,1
0.000978023249784233,0
0.0009800173331165167,1
0.0009820232497821275,0
0.0009840174164477446,1
0.0009860232497800221,0
0.0009880174164456391,1
0.0009900230831112501,0
0.000992017499776867,1
0.0009940230831091447,0
0.0009960174164414283,1
0.0009980230831070393,0
0.00100001733310599,1
0.00101002324976739,0
0.001012017416433007,1
0.001014023083098618,0
0.001016017416430901,1
0.001038023249752652,0
0.001040017333084935,1
0.001042023166417213,0
0.001044017416416163,1
0.001046023249748441,0
0.001048017416414058,1
0.001050023416413002,0
0.001052017333078619,1
0.001062023249740019,0
0.001064017333072303,1
0.00106602316640458,0
0.001068017416403531,1
0.001070023249735808,0
0.001072017499734759,1
